Date,Department,Client,Engagement,Manager,Invoiced,Received,DueDate,NextBillingDate,Status
2026-02-09,Advisory,Sunrise Motors,ENG-1237,A. Tanaka,0.0,0.0,2026-03-11,2026-06-28,Draft
2026-03-29,Audit,GreenField Realty,ENG-1238,K. Reyes,407344.35,0.0,2026-04-28,2026-07-14,Unpaid
2025-05-21,Audit,Cebu Resorts Group,ENG-1239,R. Cruz,101166.89,0.0,2025-06-20,2026-07-22,Unpaid
2025-02-23,Tax,Nippon Steel PH,ENG-1240,A. Tanaka,96110.86,96110.86,2025-04-24,2026-07-29,Paid
2025-06-11,Payroll,BPO Global,ENG-1241,M. Yamada,0.0,0.0,2025-08-10,,Draft
2025-10-20,Audit,BPO Global,ENG-1242,K. Reyes,401702.83,0.0,2025-11-04,,Unpaid
2025-06-29,Accounting,TechBridge Solutions,ENG-1243,J. Santos,274015.59,0.0,2025-07-14,,Unpaid
2025-10-24,Tax,Pacific Garments,ENG-1244,M. Yamada,530976.17,530976.17,2025-11-08,,Paid
2026-06-21,Advisory,Manila Logistics Corp.,ENG-1245,M. Yamada,0.0,0.0,2026-08-20,2026-07-31,Draft
2026-04-15,Tax,GreenField Realty,ENG-1246,K. Reyes,403039.79,0.0,2026-04-30,,Unpaid
2025-06-29,Tax,Manila Logistics Corp.,ENG-1247,J. Santos,382134.52,192116.29,2025-08-28,,Partial
2025-07-09,Accounting,BPO Global,ENG-1248,J. Santos,589743.71,589743.71,2025-08-08,2026-07-04,Paid
2025-12-04,Audit,Sunrise Motors,ENG-1249,R. Cruz,209089.67,0.0,2025-12-19,2026-07-03,Unpaid
2025-05-02,Accounting,AgriHarvest Co.,ENG-1250,M. Yamada,300621.19,300621.19,2025-06-16,,Paid
2025-08-15,Audit,Metro Pharma,ENG-1251,M. Yamada,162712.02,162712.02,2025-09-14,,Paid
2026-04-28,Advisory,AgriHarvest Co.,ENG-1252,K. Reyes,464116.29,0.0,2026-05-28,,Unpaid
2026-06-23,Accounting,Manila Logistics Corp.,ENG-1253,A. Tanaka,290178.87,0.0,2026-07-08,,Unpaid
2026-06-02,Payroll,Yamato Trading,ENG-1254,A. Tanaka,153207.8,153207.8,2026-07-02,2026-07-13,Paid
2026-05-16,Tax,Cebu Resorts Group,ENG-1255,J. Santos,90927.32,90927.32,2026-05-31,,Paid
2025-03-01,Advisory,Sakura Foods Inc.,ENG-1256,R. Cruz,352926.43,160258.52,2025-03-16,2026-08-01,Partial
2025-03-16,Payroll,Sakura Foods Inc.,ENG-1257,A. Tanaka,65362.29,65362.29,2025-03-31,,Paid
2025-02-02,Advisory,Sunrise Motors,ENG-1258,J. Santos,200770.8,200770.8,2025-03-04,,Paid
2026-01-27,Audit,AgriHarvest Co.,ENG-1259,K. Reyes,291180.79,0.0,2026-03-28,2026-07-23,Unpaid
2025-12-23,Tax,Sunrise Motors,ENG-1260,R. Cruz,0.0,0.0,2026-02-21,,Draft
2025-01-24,Accounting,BPO Global,ENG-1261,R. Cruz,587954.78,587954.78,2025-03-25,,Paid
2025-12-21,Advisory,TechBridge Solutions,ENG-1262,K. Reyes,126867.97,126867.97,2026-01-05,2026-07-22,Paid
2025-09-04,Accounting,AgriHarvest Co.,ENG-1263,A. Tanaka,155405.71,155405.71,2025-09-19,,Paid
2025-02-15,Tax,Sakura Foods Inc.,ENG-1264,R. Cruz,265268.6,265268.6,2025-03-17,,Paid
2025-10-24,Payroll,AgriHarvest Co.,ENG-1265,M. Yamada,171130.45,0.0,2025-12-08,,Unpaid
2025-11-06,Tax,GreenField Realty,ENG-1266,A. Tanaka,0.0,0.0,2025-12-06,,Draft
2025-06-29,Payroll,AgriHarvest Co.,ENG-1267,J. Santos,390556.16,390556.16,2025-08-28,2026-07-02,Paid
2025-11-23,Payroll,Cebu Resorts Group,ENG-1268,J. Santos,429932.71,429932.71,2026-01-07,2026-07-28,Paid
2025-08-19,Tax,Cebu Resorts Group,ENG-1269,J. Santos,208412.39,0.0,2025-10-18,,Unpaid
2026-06-27,Advisory,Yamato Trading,ENG-1270,M. Yamada,115091.94,115091.94,2026-07-27,2026-06-15,Paid
2025-07-15,Accounting,BPO Global,ENG-1271,K. Reyes,68860.51,68860.51,2025-07-30,,Paid
2025-08-11,Payroll,Sakura Foods Inc.,ENG-1272,R. Cruz,308460.76,0.0,2025-09-25,2026-08-07,Unpaid
2025-05-01,Tax,Sunrise Motors,ENG-1273,R. Cruz,458252.37,0.0,2025-05-31,,Unpaid
2025-09-03,Advisory,AgriHarvest Co.,ENG-1274,M. Yamada,349164.4,0.0,2025-11-02,,Unpaid
2025-09-25,Audit,Yamato Trading,ENG-1275,M. Yamada,241400.99,0.0,2025-11-24,2026-07-26,Unpaid
2026-01-15,Tax,Sakura Foods Inc.,ENG-1276,M. Yamada,215236.33,215236.33,2026-02-14,,Paid
2026-03-04,Payroll,BPO Global,ENG-1277,J. Santos,205307.68,205307.68,2026-04-03,2026-08-02,Paid
2025-12-12,Payroll,Sunrise Motors,ENG-1278,M. Yamada,184102.98,0.0,2026-02-10,,Unpaid
2025-05-24,Tax,Manila Logistics Corp.,ENG-1279,A. Tanaka,443375.58,443375.58,2025-06-08,,Paid
2026-02-27,Accounting,Yamato Trading,ENG-1280,M. Yamada,116995.26,39074.54,2026-03-29,2026-07-12,Partial
2026-05-10,Accounting,Sunrise Motors,ENG-1281,M. Yamada,409199.23,409199.23,2026-07-09,2026-07-13,Paid
2025-10-21,Payroll,Nippon Steel PH,ENG-1282,A. Tanaka,49599.85,0.0,2025-12-20,,Unpaid
2026-06-21,Accounting,GreenField Realty,ENG-1283,J. Santos,123382.59,123382.59,2026-08-05,,Paid
2026-01-18,Accounting,BPO Global,ENG-1284,M. Yamada,577206.76,577206.76,2026-02-17,,Paid
2025-02-02,Accounting,Sunrise Motors,ENG-1285,R. Cruz,92360.28,92360.28,2025-04-03,2026-06-10,Paid
2026-05-27,Accounting,Sakura Foods Inc.,ENG-1286,R. Cruz,513384.68,239050.03,2026-06-11,,Partial
2026-05-02,Tax,Metro Pharma,ENG-1287,A. Tanaka,0.0,0.0,2026-06-16,,Draft
2025-11-19,Tax,Sunrise Motors,ENG-1288,J. Santos,48768.53,48768.53,2025-12-19,,Paid
2025-11-03,Accounting,Cebu Resorts Group,ENG-1289,M. Yamada,130972.14,130972.14,2026-01-02,,Paid
2025-05-24,Advisory,BPO Global,ENG-1290,A. Tanaka,482678.93,163731.38,2025-07-08,2026-07-07,Partial
2026-02-11,Audit,Yamato Trading,ENG-1291,J. Santos,582595.5,582595.5,2026-03-28,,Paid
2025-12-31,Tax,AgriHarvest Co.,ENG-1292,J. Santos,349701.13,349701.13,2026-01-30,,Paid
2025-10-30,Accounting,Sunrise Motors,ENG-1293,R. Cruz,486910.9,0.0,2025-11-14,2026-07-04,Unpaid
2025-11-21,Advisory,GreenField Realty,ENG-1294,A. Tanaka,241992.13,241992.13,2026-01-05,,Paid
2025-03-31,Tax,Pacific Garments,ENG-1295,K. Reyes,144939.4,144939.4,2025-05-30,2026-06-15,Paid
2025-11-29,Accounting,Sunrise Motors,ENG-1296,K. Reyes,523682.18,523682.18,2026-01-28,2026-06-15,Paid
2026-06-18,Tax,Yamato Trading,ENG-1297,R. Cruz,134966.44,134966.44,2026-07-18,2026-06-27,Paid
2025-06-21,Accounting,Pacific Garments,ENG-1298,M. Yamada,283418.71,283418.71,2025-08-20,,Paid
2026-05-23,Tax,TechBridge Solutions,ENG-1299,M. Yamada,372531.58,372531.58,2026-06-07,2026-06-10,Paid
2026-01-25,Payroll,AgriHarvest Co.,ENG-1300,K. Reyes,490282.82,490282.82,2026-03-11,,Paid
2025-11-04,Tax,Nippon Steel PH,ENG-1301,J. Santos,0.0,0.0,2025-12-04,,Draft
2025-10-26,Audit,TechBridge Solutions,ENG-1302,M. Yamada,451529.64,353945.75,2025-11-25,2026-06-27,Partial
2025-07-24,Accounting,Yamato Trading,ENG-1303,R. Cruz,371647.14,371647.14,2025-08-08,,Paid
2025-10-26,Advisory,Nippon Steel PH,ENG-1304,M. Yamada,505517.81,505517.81,2025-12-25,,Paid
2025-09-16,Tax,Yamato Trading,ENG-1305,K. Reyes,408851.26,0.0,2025-11-15,2026-07-18,Unpaid
2026-06-03,Advisory,Pacific Garments,ENG-1306,K. Reyes,557157.62,0.0,2026-08-02,,Unpaid
2025-03-29,Payroll,Sakura Foods Inc.,ENG-1307,K. Reyes,101246.88,101246.88,2025-05-13,2026-07-19,Paid
2025-12-06,Advisory,Cebu Resorts Group,ENG-1308,K. Reyes,580801.4,580801.4,2025-12-21,2026-06-24,Paid
2025-08-15,Payroll,Yamato Trading,ENG-1309,A. Tanaka,289635.99,289635.99,2025-09-14,2026-06-11,Paid
2026-03-02,Audit,Yamato Trading,ENG-1310,R. Cruz,555506.63,555506.63,2026-04-01,2026-07-01,Paid
2026-05-10,Payroll,Sakura Foods Inc.,ENG-1311,A. Tanaka,235048.17,235048.17,2026-07-09,2026-06-29,Paid
2025-12-18,Accounting,Cebu Resorts Group,ENG-1312,R. Cruz,402863.15,153965.05,2026-01-17,,Partial
2026-03-13,Audit,Nippon Steel PH,ENG-1313,J. Santos,576739.07,576739.07,2026-05-12,,Paid
2025-01-30,Advisory,TechBridge Solutions,ENG-1314,A. Tanaka,452937.49,0.0,2025-03-31,,Unpaid
2025-07-30,Tax,Cebu Resorts Group,ENG-1315,R. Cruz,195873.11,0.0,2025-08-14,,Unpaid
2025-11-30,Audit,AgriHarvest Co.,ENG-1316,M. Yamada,150361.59,150361.59,2026-01-29,,Paid
2026-02-02,Payroll,AgriHarvest Co.,ENG-1317,M. Yamada,382332.72,181211.3,2026-04-03,,Partial
2025-03-28,Payroll,Pacific Garments,ENG-1318,R. Cruz,416381.65,416381.65,2025-04-27,2026-06-21,Paid
2026-02-02,Payroll,Yamato Trading,ENG-1319,K. Reyes,274213.9,274213.9,2026-04-03,,Paid
2025-06-20,Tax,Metro Pharma,ENG-1320,A. Tanaka,314199.53,314199.53,2025-08-04,,Paid
2025-01-10,Audit,Cebu Resorts Group,ENG-1321,J. Santos,311380.99,311380.99,2025-03-11,,Paid
2026-05-19,Advisory,Sakura Foods Inc.,ENG-1322,R. Cruz,272753.04,0.0,2026-07-18,2026-07-16,Unpaid
2025-02-03,Audit,Metro Pharma,ENG-1323,J. Santos,193917.63,193917.63,2025-03-05,,Paid
2026-06-08,Payroll,Sakura Foods Inc.,ENG-1324,J. Santos,103398.16,103398.16,2026-07-23,,Paid
2025-08-12,Payroll,Yamato Trading,ENG-1325,M. Yamada,594274.41,594274.41,2025-09-11,2026-06-12,Paid
2025-03-31,Audit,Metro Pharma,ENG-1326,M. Yamada,0.0,0.0,2025-04-30,2026-07-27,Draft
2026-03-15,Payroll,Sakura Foods Inc.,ENG-1327,K. Reyes,132949.71,132949.71,2026-04-14,,Paid
2026-06-30,Audit,GreenField Realty,ENG-1328,M. Yamada,197407.61,197407.61,2026-08-14,,Paid
2025-10-01,Payroll,TechBridge Solutions,ENG-1329,A. Tanaka,573342.51,573342.51,2025-10-16,2026-07-28,Paid
2025-05-10,Audit,BPO Global,ENG-1330,J. Santos,432798.86,432798.86,2025-06-09,,Paid
2025-05-26,Advisory,AgriHarvest Co.,ENG-1331,A. Tanaka,363358.3,363358.3,2025-07-25,2026-06-14,Paid
2026-06-12,Advisory,Pacific Garments,ENG-1332,K. Reyes,459889.33,339701.24,2026-08-11,,Partial
2025-04-06,Accounting,Cebu Resorts Group,ENG-1333,J. Santos,449321.88,449321.88,2025-05-21,,Paid
2026-03-16,Tax,Pacific Garments,ENG-1334,K. Reyes,501914.68,501914.68,2026-04-30,,Paid
2025-05-14,Payroll,Sakura Foods Inc.,ENG-1335,A. Tanaka,357039.58,357039.58,2025-06-28,,Paid
2026-04-16,Accounting,Sakura Foods Inc.,ENG-1336,J. Santos,0.0,0.0,2026-05-16,,Draft
2025-05-16,Tax,GreenField Realty,ENG-1337,A. Tanaka,534002.75,534002.75,2025-06-30,2026-07-03,Paid
2025-06-19,Audit,Manila Logistics Corp.,ENG-1338,A. Tanaka,69000.87,45747.18,2025-07-19,,Partial
2025-08-07,Accounting,Yamato Trading,ENG-1339,A. Tanaka,307011.76,307011.76,2025-09-06,,Paid
2025-12-18,Accounting,Yamato Trading,ENG-1340,A. Tanaka,0.0,0.0,2026-02-16,,Draft
2026-01-28,Tax,GreenField Realty,ENG-1341,R. Cruz,90025.41,0.0,2026-02-12,2026-08-05,Unpaid
2025-05-17,Advisory,Nippon Steel PH,ENG-1342,J. Santos,399282.64,133442.58,2025-06-01,,Partial
2025-08-07,Audit,Yamato Trading,ENG-1343,R. Cruz,391724.82,391724.82,2025-10-06,,Paid
2025-04-13,Accounting,Pacific Garments,ENG-1344,R. Cruz,118407.36,118407.36,2025-06-12,2026-07-07,Paid
2025-10-11,Tax,Sunrise Motors,ENG-1345,A. Tanaka,400987.52,400987.52,2025-11-25,,Paid
2025-07-30,Audit,BPO Global,ENG-1346,J. Santos,329939.51,329939.51,2025-09-28,2026-06-13,Paid
2025-04-26,Advisory,Pacific Garments,ENG-1347,R. Cruz,175005.78,58715.49,2025-05-11,,Partial
2026-03-07,Advisory,Sakura Foods Inc.,ENG-1348,M. Yamada,244630.98,166682.49,2026-03-22,2026-06-14,Partial
2025-02-10,Tax,AgriHarvest Co.,ENG-1349,K. Reyes,0.0,0.0,2025-04-11,,Draft
2026-03-10,Advisory,Manila Logistics Corp.,ENG-1350,K. Reyes,433013.96,433013.96,2026-04-09,2026-06-29,Paid
2025-06-09,Tax,Sunrise Motors,ENG-1351,R. Cruz,340378.5,340378.5,2025-06-24,2026-07-07,Paid
2025-09-08,Accounting,Sakura Foods Inc.,ENG-1352,M. Yamada,88279.17,88279.17,2025-11-07,,Paid
2025-05-03,Tax,Pacific Garments,ENG-1353,K. Reyes,47092.38,47092.38,2025-05-18,2026-08-09,Paid
2025-09-23,Payroll,Manila Logistics Corp.,ENG-1354,A. Tanaka,133499.25,133499.25,2025-11-07,,Paid
2026-03-16,Audit,Cebu Resorts Group,ENG-1355,M. Yamada,192309.13,192309.13,2026-03-31,,Paid
2026-05-27,Accounting,Metro Pharma,ENG-1356,A. Tanaka,521241.48,521241.48,2026-06-26,2026-06-16,Paid
2026-06-06,Tax,Pacific Garments,ENG-1357,J. Santos,41438.36,0.0,2026-06-21,2026-07-10,Unpaid
2025-07-03,Tax,TechBridge Solutions,ENG-1358,M. Yamada,561449.64,0.0,2025-09-01,2026-06-25,Unpaid
2025-03-21,Audit,Cebu Resorts Group,ENG-1359,A. Tanaka,360060.14,360060.14,2025-04-05,2026-07-31,Paid
2025-03-12,Advisory,Yamato Trading,ENG-1360,A. Tanaka,531115.09,0.0,2025-04-26,2026-07-15,Unpaid
2025-07-25,Audit,Metro Pharma,ENG-1361,J. Santos,203293.25,0.0,2025-08-24,,Unpaid
2025-09-09,Tax,AgriHarvest Co.,ENG-1362,A. Tanaka,0.0,0.0,2025-09-24,2026-07-02,Draft
2025-01-02,Audit,BPO Global,ENG-1363,J. Santos,465000.33,465000.33,2025-02-16,2026-07-13,Paid
2025-03-03,Advisory,BPO Global,ENG-1364,K. Reyes,584633.17,584633.17,2025-04-17,2026-08-07,Paid
2026-01-17,Advisory,AgriHarvest Co.,ENG-1365,J. Santos,296736.5,0.0,2026-02-01,,Unpaid
2025-03-05,Accounting,Pacific Garments,ENG-1366,J. Santos,0.0,0.0,2025-04-04,2026-08-03,Draft
2025-11-22,Audit,Metro Pharma,ENG-1367,A. Tanaka,293544.4,293544.4,2025-12-22,2026-07-29,Paid
2025-04-19,Tax,BPO Global,ENG-1368,J. Santos,132049.99,132049.99,2025-06-18,2026-07-02,Paid
2026-04-20,Audit,GreenField Realty,ENG-1369,K. Reyes,188404.44,188404.44,2026-05-20,,Paid
2025-08-09,Accounting,Pacific Garments,ENG-1370,J. Santos,508117.86,508117.86,2025-08-24,,Paid
2025-02-20,Payroll,Yamato Trading,ENG-1371,K. Reyes,419222.69,419222.69,2025-03-22,2026-07-05,Paid
2025-09-13,Payroll,BPO Global,ENG-1372,R. Cruz,93046.16,93046.16,2025-10-13,2026-06-13,Paid
2026-02-15,Tax,Manila Logistics Corp.,ENG-1373,A. Tanaka,248454.26,154623.65,2026-04-01,,Partial
2025-07-22,Accounting,Pacific Garments,ENG-1374,A. Tanaka,545397.81,545397.81,2025-08-21,2026-08-03,Paid
2026-04-18,Accounting,TechBridge Solutions,ENG-1375,J. Santos,0.0,0.0,2026-06-17,,Draft
2026-01-27,Accounting,GreenField Realty,ENG-1376,M. Yamada,422599.23,422599.23,2026-02-26,,Paid
2025-06-02,Advisory,Cebu Resorts Group,ENG-1377,J. Santos,59403.69,25121.37,2025-07-17,,Partial
2025-03-31,Accounting,Cebu Resorts Group,ENG-1378,R. Cruz,196674.55,196674.55,2025-04-30,,Paid
2025-01-20,Payroll,Yamato Trading,ENG-1379,M. Yamada,594066.02,0.0,2025-03-06,,Unpaid
2026-05-30,Payroll,Sakura Foods Inc.,ENG-1380,M. Yamada,220098.47,220098.47,2026-06-14,2026-06-24,Paid
2026-04-29,Accounting,Manila Logistics Corp.,ENG-1381,R. Cruz,336482.08,0.0,2026-05-29,,Unpaid
2025-09-30,Tax,BPO Global,ENG-1382,K. Reyes,338866.16,0.0,2025-10-15,,Unpaid
2025-12-30,Advisory,Pacific Garments,ENG-1383,M. Yamada,0.0,0.0,2026-01-29,2026-07-17,Draft
2025-01-29,Payroll,BPO Global,ENG-1384,J. Santos,433933.61,433933.61,2025-02-28,,Paid
2025-11-13,Payroll,Sakura Foods Inc.,ENG-1385,K. Reyes,138311.79,138311.79,2025-11-28,2026-06-24,Paid
2025-01-01,Advisory,Pacific Garments,ENG-1386,A. Tanaka,225771.04,158767.32,2025-02-15,,Partial
2025-06-01,Accounting,Pacific Garments,ENG-1387,A. Tanaka,368501.14,0.0,2025-06-16,,Unpaid
2026-02-10,Audit,Sunrise Motors,ENG-1388,J. Santos,368169.33,368169.33,2026-03-27,2026-06-20,Paid
2025-11-21,Advisory,Nippon Steel PH,ENG-1389,J. Santos,0.0,0.0,2026-01-05,2026-07-17,Draft
2025-10-29,Audit,Metro Pharma,ENG-1390,A. Tanaka,111315.08,0.0,2025-12-28,,Unpaid
2025-11-22,Tax,Manila Logistics Corp.,ENG-1391,J. Santos,0.0,0.0,2025-12-22,,Draft
2025-12-06,Tax,Manila Logistics Corp.,ENG-1392,M. Yamada,457392.26,457392.26,2026-01-20,2026-08-05,Paid
2025-01-12,Advisory,Manila Logistics Corp.,ENG-1393,A. Tanaka,188518.97,188518.97,2025-01-27,2026-07-30,Paid
2026-01-31,Accounting,Yamato Trading,ENG-1394,J. Santos,285403.28,285403.28,2026-03-02,,Paid
2026-01-20,Audit,Sakura Foods Inc.,ENG-1395,M. Yamada,96799.99,96799.99,2026-02-19,2026-06-14,Paid
2025-11-23,Accounting,Nippon Steel PH,ENG-1396,A. Tanaka,186231.52,186231.52,2026-01-07,2026-07-04,Paid
2025-04-06,Payroll,TechBridge Solutions,ENG-1397,R. Cruz,0.0,0.0,2025-06-05,,Draft
2026-03-21,Payroll,TechBridge Solutions,ENG-1398,K. Reyes,127978.12,127978.12,2026-04-20,,Paid
2025-09-29,Payroll,Cebu Resorts Group,ENG-1399,J. Santos,409934.82,409934.82,2025-10-14,2026-07-16,Paid
2025-02-25,Tax,AgriHarvest Co.,ENG-1400,K. Reyes,242064.2,242064.2,2025-04-11,,Paid
2025-07-24,Advisory,Yamato Trading,ENG-1401,A. Tanaka,94312.66,94312.66,2025-09-07,,Paid
2026-02-12,Audit,TechBridge Solutions,ENG-1402,R. Cruz,303728.89,0.0,2026-03-29,2026-07-14,Unpaid
2026-01-26,Audit,GreenField Realty,ENG-1403,R. Cruz,246864.93,246864.93,2026-03-12,,Paid
2025-03-05,Audit,TechBridge Solutions,ENG-1404,K. Reyes,124633.18,43416.13,2025-04-19,,Partial
2025-03-04,Tax,AgriHarvest Co.,ENG-1405,J. Santos,510846.41,0.0,2025-05-03,,Unpaid
2025-08-30,Payroll,Cebu Resorts Group,ENG-1406,K. Reyes,306706.88,306706.88,2025-09-14,,Paid
2025-05-31,Payroll,Nippon Steel PH,ENG-1407,R. Cruz,107357.85,0.0,2025-06-30,,Unpaid
2025-05-10,Tax,AgriHarvest Co.,ENG-1408,R. Cruz,63898.5,63898.5,2025-07-09,2026-08-01,Paid
2025-09-22,Payroll,TechBridge Solutions,ENG-1409,K. Reyes,219059.71,0.0,2025-10-07,2026-07-15,Unpaid
2025-10-10,Audit,Metro Pharma,ENG-1410,K. Reyes,331025.38,0.0,2025-10-25,,Unpaid
2026-03-06,Payroll,Metro Pharma,ENG-1411,A. Tanaka,103010.55,103010.55,2026-03-21,,Paid
2025-12-19,Audit,Yamato Trading,ENG-1412,A. Tanaka,531620.4,531620.4,2026-02-17,,Paid
2025-10-10,Tax,Pacific Garments,ENG-1413,R. Cruz,265665.42,170133.84,2025-12-09,2026-08-05,Partial
2026-05-02,Accounting,GreenField Realty,ENG-1414,M. Yamada,555667.59,0.0,2026-05-17,2026-07-30,Unpaid
2026-05-19,Audit,Yamato Trading,ENG-1415,M. Yamada,520611.48,409329.9,2026-06-18,2026-07-27,Partial
2026-03-03,Audit,TechBridge Solutions,ENG-1416,J. Santos,378788.31,378788.31,2026-05-02,2026-08-01,Paid
2026-01-18,Payroll,Cebu Resorts Group,ENG-1417,J. Santos,499769.74,499769.74,2026-02-17,2026-07-25,Paid
2026-06-21,Tax,BPO Global,ENG-1418,A. Tanaka,532426.25,532426.25,2026-07-21,,Paid
2025-02-03,Tax,Yamato Trading,ENG-1419,K. Reyes,295611.25,0.0,2025-03-05,2026-08-01,Unpaid
2025-05-07,Advisory,Nippon Steel PH,ENG-1420,J. Santos,421457.64,421457.64,2025-07-06,,Paid
